Test Number,Date Year-Mo-Da,Time (hr:mn:sec),Latitude (°N),Longitude (°E),Comments
262,1966–12-18,4:58:00.000,49.92458,77.74722,Bocharov
272,1967–09-16,4:04:00.003,49.93719,77.72811,Bocharov
273,1967–09-22,5:04:00.000,49.95964,77.69106,Bocharov
278,1967–11-22,4:03:59.009,49.94194,77.68683,Bocharov
301,1969–05-31,5:01:59.004,49.95031,77.69422,Bocharov
314,1969–12-28,3:47:00.002,49.93733,77.71422,Bocharov
323,1970–07-21,3:02:59.007,49.95242,77.67289,Bocharov
328,1970–11-04,6:02:59.008,49.98922,77.76244,Bocharov
339,1971–06-06,4:02:59.007,49.97542,77.66028,Bocharov
340,1971–06-19,4:04:00.001,49.96903,77.64081,Bocharov
347,1971–10-09,6:02:59.007,49.97789,77.64144,Bocharov
348,1971–10-21,6:02:59.007,49.97381,77.59733,Bocharov
367,1972–08-26,3:46:59.007,49.98197,77.71661,Bocharov
380,1973–04-19,4:32:59.092,49.984,77.614,AWE
447,1976–08-04,2:57:00.029,49.87,77.70,Khalturin
481,1978–03-19,3:46:59.082,49.945,77.704,AWE
515,1979–02-16,4:04:00.050,49.974,77.668,AWE
524,1979–07-18,3:17:04.092,49.919,77.812,AWE
544,1980–04-04,5:32:59.083,50.000,77.823,AWE
